Head,BTHotspot,WIFI5Ghz,HotspotVoice,Cell,IMU,BDR_Single_Chain_0,EDR_Single_Chain_0,BLE_Single_Chain_0,BDR_Single_Chain_1,EDR_Single_Chain_1,BLE_Single_Chain_1,BDR_Dual_Chain_0,EDR_Dual_Chain_0,BLE_Dual_Chain_0,BDR_Dual_Chain_1,EDR_Dual_Chain_1,BLE_Dual_Chain_1
off,off,off,off,off,on,76,66,74,76,66,74,64,54,66,64,54,66
off,off,off,off,on,on,76,66,74,76,66,74,64,54,66,64,54,66
off,off,off,on,off,on,74,66,72,76,66,74,64,54,66,64,54,66
off,off,off,on,on,on,74,66,72,76,66,74,64,54,66,64,54,66
off,off,on,off,off,on,74,66,72,76,66,74,64,54,66,64,54,66
off,off,on,off,on,on,74,66,72,76,66,74,64,54,66,64,54,66
off,off,on,on,off,on,66,66,64,68,66,66,64,54,64,64,54,64
off,off,on,on,on,on,66,66,64,68,66,66,64,54,64,64,54,64
off,on,off,off,off,on,66,66,64,68,66,66,64,54,64,64,54,64
off,on,off,off,on,on,66,66,64,68,66,66,64,54,64,64,54,64
off,on,off,on,off,on,66,66,64,68,66,66,64,54,64,64,54,64
off,on,off,on,on,on,66,66,64,68,66,66,64,54,64,64,54,64
off,on,on,off,off,on,66,66,64,68,66,66,64,54,64,64,54,64
off,on,on,off,on,on,66,66,64,68,66,66,64,54,64,64,54,64
off,on,on,on,off,on,66,66,64,68,66,66,64,54,64,64,54,64
off,on,on,on,on,on,66,66,64,68,66,66,64,54,64,64,54,64
on,off,off,off,off,any,46,46,46,58,58,56,46,46,46,46,46,50
on,off,off,off,on,any,46,46,46,58,58,56,46,46,46,46,46,50
on,off,off,on,off,any,46,46,46,58,58,56,46,46,46,46,46,50
on,off,off,on,on,any,46,46,46,58,58,56,46,46,46,46,46,50
on,off,on,off,off,any,46,46,46,58,58,56,46,46,46,46,46,50
on,off,on,off,on,any,46,46,46,58,58,56,46,46,46,46,46,50
on,off,on,on,off,any,46,46,46,58,58,56,46,46,46,46,46,50
on,off,on,on,on,any,46,46,46,58,58,56,46,46,46,46,46,50
on,on,off,off,off,any,46,46,46,58,58,56,46,46,46,46,46,50
on,on,off,off,on,any,46,46,46,58,58,56,46,46,46,46,46,50
on,on,off,on,off,any,46,46,46,58,58,56,46,46,46,46,46,50
on,on,off,on,on,any,46,46,46,58,58,56,46,46,46,46,46,50
on,on,on,off,off,any,46,46,46,58,58,56,46,46,46,46,46,50
on,on,on,off,on,any,46,46,46,58,58,56,46,46,46,46,46,50
on,on,on,on,off,any,46,46,46,58,58,56,46,46,46,46,46,50
on,on,on,on,on,any,46,46,46,58,58,56,46,46,46,46,46,50
off,any,any,any,any,off,76,66,74,76,66,74,64,54,66,64,54,66
