Head,BTHotspot,WIFI5Ghz,HotspotVoice,Cell,IMU,BDR_Single_Chain_0,EDR_Single_Chain_0,BLE_Single_Chain_0,BDR_Single_Chain_1,EDR_Single_Chain_1,BLE_Single_Chain_1,BDR_Dual_Chain_0,EDR_Dual_Chain_0,BLE_Dual_Chain_0,BDR_Dual_Chain_1,EDR_Dual_Chain_1,BLE_Dual_Chain_1
off,off,off,off,off,on,64,66,36,68,70,36,56,54,26,54,56,26
off,off,off,off,on,on,64,66,36,68,70,36,56,54,26,54,56,26
off,off,off,on,off,on,64,66,36,68,70,36,56,54,26,54,56,26
off,off,off,on,on,on,64,66,36,68,70,36,56,54,26,54,56,26
off,off,on,off,off,on,64,66,36,68,70,36,56,54,26,54,56,26
off,off,on,off,on,on,64,66,36,68,70,36,56,54,26,54,56,26
off,off,on,on,off,on,64,66,36,68,70,36,56,54,26,54,56,26
off,off,on,on,on,on,64,66,36,68,70,36,56,54,26,54,56,26
off,on,off,off,off,on,64,66,36,68,70,36,56,54,26,54,56,26
off,on,off,off,on,on,64,66,36,68,70,36,56,54,26,54,56,26
off,on,off,on,off,on,64,66,36,68,70,36,56,54,26,54,56,26
off,on,off,on,on,on,64,66,36,68,70,36,56,54,26,54,56,26
off,on,on,off,off,on,64,66,36,68,70,36,56,54,26,54,56,26
off,on,on,off,on,on,64,66,36,68,70,36,56,54,26,54,56,26
off,on,on,on,off,on,64,66,36,68,70,36,56,54,26,54,56,26
off,on,on,on,on,on,64,66,36,68,70,36,56,54,26,54,56,26
on,off,off,off,off,any,64,66,36,68,70,36,56,54,26,54,56,26
on,off,off,off,on,any,64,66,36,68,70,36,56,54,26,54,56,26
on,off,off,on,off,any,64,66,36,68,70,36,56,54,26,54,56,26
on,off,off,on,on,any,64,66,36,68,70,36,56,54,26,54,56,26
on,off,on,off,off,any,64,66,36,68,70,36,56,54,26,54,56,26
on,off,on,off,on,any,64,66,36,68,70,36,56,54,26,54,56,26
on,off,on,on,off,any,64,66,36,68,70,36,56,54,26,54,56,26
on,off,on,on,on,any,64,66,36,68,70,36,56,54,26,54,56,26
on,on,off,off,off,any,64,66,36,68,70,36,56,54,26,54,56,26
on,on,off,off,on,any,64,66,36,68,70,36,56,54,26,54,56,26
on,on,off,on,off,any,64,66,36,68,70,36,56,54,26,54,56,26
on,on,off,on,on,any,64,66,36,68,70,36,56,54,26,54,56,26
on,on,on,off,off,any,64,66,36,68,70,36,56,54,26,54,56,26
on,on,on,off,on,any,64,66,36,68,70,36,56,54,26,54,56,26
on,on,on,on,off,any,64,66,36,68,70,36,56,54,26,54,56,26
on,on,on,on,on,any,64,66,36,68,70,36,56,54,26,54,56,26
off,any,any,any,any,off,64,66,36,68,70,36,56,54,26,54,56,26
